id,name,slug,nationality,birth_year,active,website,instagram
7,Ada Friedman,ada-friedman,,,true,,
53,Amir Badawi,amir-badawi,,,true,,
63,Amy Greco,amy-greco,,,true,,
28,Andrew Erdos,andrew-erdos,,,true,,
4,Annie Hayes,annie-hayes,,,true,,
59,Aruni Dharmakirthi,aruni-dharmakirthi,,,true,,
25,Aurora Halal,aurora-halal,,,true,,
3,Barbara Ess,barbara-ess,,,true,,
10,Beatriz Chachamovits,beatriz-chachamovits,,,true,,
38,Byron Kim,byron-kim,,,true,,
17,Carla Maldonado,carla-maldonado,,,true,,
24,Carlito Dalceggio,carlito-dalceggio,,,true,,
54,Chris Baker,chris-baker,,,true,,
66,Clare Hu,clare-hu,,,true,,
20,Dean Cercone,dean-cercone,,,true,,
51,Earth Ængel,earth-ngel,,,true,,
62,Elham Goodarzi,elham-goodarzi,,,true,,
31,Elisa Pritzker,elisa-pritzker,,,true,,
46,Emilie Stark-Menneg,emilie-stark-menneg,,,true,,
44,Emma Stern,emma-stern,,,true,,
61,Francisco echo Eraso,francisco-echo-eraso,,,true,,
64,Gigi Gruenburg,gigi-gruenburg,,,true,,
37,Go Pushpops,go-pushpops,,,true,,
30,Haas Brothers,haas-brothers,,,true,,
57,Haifa Bint-Kadi,haifa-bint-kadi,,,true,,
43,Indira Cesarine,indira-cesarine,,,true,,
15,Irja Boden,irja-boden,,,true,,
55,James Baker,james-baker,,,true,,
16,Jamie Martinez,jamie-martinez,,,true,,
21,Jay Milder,jay-milder,,,true,,
65,Jenna Hamed,jenna-hamed,,,true,,
2,Jilaine Jones,jilaine-jones,,,true,,
36,Jordan Piantedosi,jordan-piantedosi,,,true,,
18,Jovanni Luna,jovanni-luna,,,true,,
40,Julie Speidel,julie-speidel,,,true,,
27,Justin Shoulder,justin-shoulder,,,true,,
60,Katherine Earle,katherine-earle,,,true,,
39,Kip Davis,kip-davis,,,true,,
35,Laura Kimmel,laura-kimmel,,,true,,
58,Lauren Bradshaw,lauren-bradshaw,,,true,,
12,Lauren Shapiro,lauren-shapiro,,,true,,
23,Lena Marquise,lena-marquise,,,true,,
33,Lina Puerta,lina-puerta,,,true,,
1,Magnus Maxine Flowers,magnus-maxine-flowers,,,true,,
13,Manuela Riestra,manuela-riestra,,,true,,
49,Marco Santini,marco-santini,,,true,,
34,Mimi Oritsky,mimi-oritsky,,,true,,
11,Mira Lehr,mira-lehr,,,true,,
32,Nyuegen E. Smith,nyuegen-e-smith,,,true,,
8,Ozan Ünal,ozan-nal,,,true,,
5,Paul Latislaw,paul-latislaw,,,true,,
19,Peggy Ahwesh,peggy-ahwesh,,,true,,
9,Pentti Monkkonen,pentti-monkkonen,,,true,,
14,Portia Zvavahera,portia-zvavahera,,,true,,
67,Ray Hwang,ray-hwang,,,true,,
42,Raymond Pettibon,raymond-pettibon,,,true,,
47,Rebecca Ness,rebecca-ness,,,true,,
6,Rhys Ziemba,rhys-ziemba,,,true,,
26,Sam Rolfes,sam-rolfes,,,true,,
56,Sammy Bennett,sammy-bennett,,,true,,
22,Sarah Sze,sarah-sze,,,true,,
52,Taesha Aurora,taesha-aurora,,,true,,
48,Tim McCool,tim-mccool,,,true,,
41,Travis Boyer,travis-boyer,,,true,,
45,Wendy Klemperer,wendy-klemperer,,,true,,
50,Yasmeen Abdallah,yasmeen-abdallah,,,true,,
29,Yasue Maetake,yasue-maetake,,,true,,