id,name,slug,city,country,type,website
2,15 Orient,15-orient,,,commercial,
22,550 Gallery,550-gallery,,,commercial,
26,Alexandra Arts / ART511MAG,alexandra-arts-art511mag,,,commercial,
29,Alt Esc,alt-esc,,,commercial,
16,Amos Eno Gallery,amos-eno-gallery,,,commercial,
46,Art Basel,art-basel,Basel,Switzerland,art_fair,
7,Bakehouse Art Complex,bakehouse-art-complex,,,non-profit,
33,Carpenter's Workshop Gallery,carpenters-workshop-gallery,,,commercial,
10,Clearing,clearing,,,commercial,
15,David Zwirner,david-zwirner,,,commercial,
4,Diana New York,diana-new-york,,,commercial,
51,Felix Art Show,felix-art-show,Los Angeles,USA,art_fair,
48,Frieze LA,frieze-la,Los Angeles,USA,art_fair,
34,Galeria Agustina Ferreyra,galeria-agustina-ferreyra,,,commercial,
19,Galerie Manque,galerie-manque,,,commercial,
36,Honey Ramka,honey-ramka,,,commercial,
32,International Gallery,international-gallery,,,commercial,
28,James Cohan,james-cohan,,,commercial,
6,Jenny's,jennys,,,commercial,
39,Jewish Museum in South Beach,jewish-museum-south-beach,Miami Beach,USA,museum,
31,Jorge Andrew Gallery,jorge-andrew-gallery,,,commercial,
5,KIPNZ,kipnz,,,commercial,
1,King's Leap,kings-leap,,,commercial,
9,Luhring Augustine,luhring-augustine,,,commercial,
3,Magenta Plains,magenta-plains,,,commercial,
35,Mana Contemporary,mana-contemporary,,,non-profit,
14,Mery Gates,mery-gates,,,commercial,
18,Microscope Gallery,microscope-gallery,,,commercial,
37,Museum of Modern Art,moma,New York,USA,museum,
12,Paradice Palase,paradice-palase,,,commercial,
42,Pioneer Works,pioneer-works,New York,USA,non-profit,
43,Pratt Institute,pratt-institute,New York,USA,institution,
20,Provincetown Art Association & Museum,provincetown-art-association-museum,,,non-profit,
23,Radiator Gallery,radiator-gallery,,,commercial,
27,Robert Miller Gallery,robert-miller-gallery,,,commercial,
50,Satellite Art Show,satellite-art-show,Miami Beach,USA,art_fair,
24,Signal Gallery,signal-gallery,,,commercial,
17,SoMad,somad,,,commercial,
49,Spring/Break Art Show,spring-break-art-show,New York,USA,art_fair,
21,Tanya Bondakar Gallery,tanya-bondakar-gallery,,,commercial,
52,Tempest,tempest,Ridgewood,USA,commercial,https://www.tempestonweirfield.com
45,The Armory Show,the-armory-show,New York,USA,art_fair,
40,The Bass,the-bass,Miami Beach,USA,museum,
25,The Border,the-border,,,commercial,
38,The Metropolitan Museum of Art,the-met,New York,USA,museum,
41,The New Museum,the-new-museum,New York,USA,museum,
44,The Strzeminski Academy of Fine Arts,strzeminski-academy,Łódź,Poland,institution,
13,Tiger Strikes Asteroid,tiger-strikes-asteroid,,,commercial,
11,Underdonk,underdonk,,,commercial,
47,Untitled Art Fair,untitled-art-fair,Miami Beach,USA,art_fair,
30,Winston Wächter Fine Art,winston-wchter-fine-art,,,commercial,
8,ZXY Gallery,zxy-gallery,,,commercial,